Report Month,Continent,Country,Country Code,Language Name,Language Code,Is Sign Language,Is ISO Recognized,First Language Population,First Language Population Group,Language EGIDS,EGIDS Group,EGIDS Has Data Support,All Access Population,All Access Status,All Access Chapter Goal,Eligible For ETEN Funding,All Access Chapters To Goal,Top 100 Progress,Top 100 Revision Status,Completed Scripture,Latest Publication Year,Text Chapters Completed,Audio Chapters Completed,Video Chapters Completed,Unknown Mode Chapters Completed,Translation Status,Is Remaining Translation Need,Expressed Need,Expressed Need Sensitivity,Active Translation,Active Language Development,Active Scripture Engagement,Active Intent,Active OBT,Engagement Maximum Sensitivity,Engagement Minimum Sensitivity,Access Through 2nd Language,2nd Language Scripture Level,Is Protected Country,IllumiNations Region,ETENRegion
2025-08,Africa,Algeria,DZ,Algerian Sign Language [asp] ,asp,Yes,Yes,240000,100K - 499K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Restricted,Restricted,,,No,null,Africa
2025-08,Africa,Algeria,DZ,"Arabic, Algerian Saharan [aao]",aao,No,Yes,326000,100K - 499K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,Stories,1992,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Restricted,Unrestricted,,,No,null,Africa
2025-08,Africa,Algeria,DZ,"Arabic, Algerian [arq]",arq,No,Yes,37301460,10M+,3,Institutional,Yes,"500,000 and greater",Translation in Progress,1189,Yes,290,,,New Testament,2020,268,260,0,30,Work In Progress,No,,,Yes,No,Yes,No,Yes,Confidential,Restricted,,,No,null,Africa
2025-08,Africa,Algeria,DZ,Chenoua [cnu],cnu,No,Yes,108000,100K - 499K,6b,In_Trouble,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,No,No,Yes,No,No,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Algeria,DZ,Kabyle [kab],kab,No,Yes,8082700,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,2011,1189,1189,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Algeria,DZ,Tachawit [shy],shy,No,Yes,2748500,500K - 9.99M,5,Developing,No,"500,000 and greater",Translation in Progress,1189,Yes,25,,,Selections,1950,0,0,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Algeria,DZ,Tagargrent [oua],oua,No,Yes,20000,10K - 99.9K,6b,In_Trouble,No,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,Yes,No,No,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Algeria,DZ,"Tamahaq, Tahaggart [thv]",thv,No,Yes,140400,100K - 499K,6b,In_Trouble,No,"5,000 to 499,999",Translation in Progress,260,Yes,108,,,Selections,2024,108,78,0,24,Work In Progress,No,,,Yes,No,Yes,No,No,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Algeria,DZ,Taznatit [grr],grr,No,Yes,31900,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,79,,,Selections,,63,0,0,16,Work In Progress,No,,,Yes,Yes,Yes,No,No,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Algeria,DZ,Tumzabt [mzb],mzb,No,Yes,196000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,123,,,Selections,2022,99,24,0,0,Work In Progress,No,,,Yes,Yes,Yes,No,Yes,Confidential,Confidential,,,No,null,Africa
2025-08,Africa,Angola,AO,Angolan Sign Language [AO84],AO84,Yes,No,159000,100K - 499K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,1,,,,,0,0,1,0,Work In Progress,No,,,Yes,No,Yes,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Chokwe [cjk],cjk,No,Yes,3035700,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1991,1189,260,0,26,Work In Progress,No,,,Yes,No,No,No,No,Restricted,Restricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Dhimba [dhm],dhm,No,Yes,25300,10K - 99.9K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2013,260,75,0,0,Work In Progress,No,,,Yes,Yes,No,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Holu [hol] ,hol,No,Yes,53000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,52,,,Selections,1956,52,0,0,0,Expressed Need,No,More Scripture,Unrestricted,No,No,No,Yes,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Hungu [hng] ,hng,No,Yes,516000,500K - 9.99M,6b,In_Trouble,Yes,"500,000 and greater",Translation in Progress,1189,Yes,0,,,,,0,0,0,0,Work In Progress,No,,Unrestricted,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Kibala [blv],blv,No,Yes,950000,500K - 9.99M,6a,Vigorous,Yes,"500,000 and greater",Translation in Progress,1189,Yes,44,,,,,44,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Kikongo [kwy],kwy,No,Yes,3000000,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1926,1189,24,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Kimbundu [kmb],kmb,No,Yes,1700160,500K - 9.99M,3,Institutional,Yes,"500,000 and greater",Goal Met in the language,1189,No,1189,,,Bible,1980,1189,260,0,0,Limited or Old Scripture,No,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Kuvale [olu],olu,No,Yes,70000,10K - 99.9K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,2,,,Stories,2021,2,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Kwandu [xdo] ,xdo,No,Yes,6000,5K - 9.9K,5,Developing,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,2,,,Selections,2016,2,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Luchazi [lch],lch,No,Yes,430900,100K - 499K,5,Developing,Yes,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,1975,1189,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Luimbi [lum] ,lum,No,Yes,411000,100K - 499K,6a,Vigorous,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,16,,,Selections,1939,16,0,0,0,Limited or Old Scripture,No,,,No,No,No,No,No,,null,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Mbangala [mxg],mxg,No,Yes,400000,100K - 499K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,New Testament,2022,468,260,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Mbunda [mck],mck,No,Yes,218000,100K - 499K,5,Developing,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Bible,2007,1189,1189,0,260,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Mbwela [mfu] ,mfu,No,Yes,222000,100K - 499K,6a,Vigorous,No,"5,000 to 499,999",Goal Met - Scripture accessed via second language,260,No,260,,,,,1189,1,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Unrestricted,Unrestricted,Luchazi [lch],Bible,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Mpinda [pnd] ,pnd,No,Yes,18000,10K - 99.9K,6b,In_Trouble,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,Unrestricted,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Ndombe [ndq] ,ndq,No,Yes,22300,10K - 99.9K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Ngendelengo [nql] ,nql,No,Yes,900,1 - 999,6a,Vigorous,Yes,"1 to 4,999",Translation in Progress,25,Yes,0,,,,,0,0,0,0,Work In Progress,No,,Unrestricted,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Nkangala [nkn] ,nkn,No,Yes,22300,10K - 99.9K,6a,Vigorous,No,"5,000 to 499,999",Goal Met in the language,260,No,260,,,Selections,,218,0,0,260,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Nkumbi [khu],khu,No,Yes,772000,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Translation in Progress,1189,Yes,538,,,New Testament,2019,538,260,0,0,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Northwestern !Kung [vaj] ,vaj,No,Yes,15070,10K - 99.9K,6b,In_Trouble,Yes,"5,000 to 499,999",Translation in Progress,260,Yes,0,,,,,0,0,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Nyaneka [nyk],nyk,No,Yes,1250000,500K - 9.99M,5,Developing,Yes,"500,000 and greater",Translation in Progress,1189,Yes,646,,,New Testament,2023,646,309,0,0,Work In Progress,No,,,Yes,No,No,No,Yes,Confidential,Unrestricted,,,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Nyemba [nba],nba,No,Yes,1149540,500K - 9.99M,5,Developing,No,"500,000 and greater",Goal Met - Scripture accessed via second language,1189,No,1189,,,New Testament,,1189,260,0,0,Limited or Old Scripture,No,,,No,No,No,No,No,,null,Luchazi [lch],Bible,No,LuminAfrica,Africa
2025-08,Africa,Angola,AO,Nyengo [nye] ,nye,No,Yes,9380,5K - 9.9K,6a,Vigorous,No,"5,000 to 499,999",Translation in Progress,260,Yes,40,,,,,0,0,0,40,Work In Progress,No,,,Yes,No,No,No,No,Unrestricted,Unrestricted,,,No,LuminAfrica,Africa
